Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2003,01,01,00,00,00,-23.2185
2003,01,01,01,00,00,-23.33533
2003,01,01,02,00,00,-23.45733
2003,01,01,03,00,00,-23.63433
2003,01,01,04,00,00,-23.62583
2003,01,01,05,00,00,-23.73417
2003,01,01,06,00,00,-23.33583
2003,01,01,07,00,00,-23.41067
2003,01,01,08,00,00,-23.0125
2003,01,01,09,00,00,-22.25133
2003,01,01,10,00,00,-22.1455
2003,01,01,11,00,00,-21.22967
2003,01,01,12,00,00,-20.38567
2003,01,01,13,00,00,-19.61183
2003,01,01,14,00,00,-19.70183
2003,01,01,15,00,00,-19.8665
2003,01,01,16,00,00,-20.20933
2003,01,01,17,00,00,-20.99433
2003,01,01,18,00,00,-20.89917
2003,01,01,19,00,00,-20.47267
2003,01,01,20,00,00,-20.47383
2003,01,01,21,00,00,-21.10417
2003,01,01,22,00,00,-21.735
2003,01,01,23,00,00,-22.1615
2003,01,02,00,00,00,-22.366
2003,01,02,01,00,00,-22.4885
2003,01,02,02,00,00,-22.01233
2003,01,02,03,00,00,-20.81967
2003,01,02,04,00,00,-20.43183
2003,01,02,05,00,00,-21.067
2003,01,02,06,00,00,-22.14517
2003,01,02,07,00,00,-21.59583
2003,01,02,08,00,00,-20.97133
2003,01,02,09,00,00,-21.50731
2003,01,02,10,00,00,-21.15183
2003,01,02,11,00,00,-19.6755
2003,01,02,12,00,00,-19.23
2003,01,02,13,00,00,-18.61367
2003,01,02,14,00,00,-18.21817
2003,01,02,15,00,00,-18.3155
2003,01,02,16,00,00,-18.5295
2003,01,02,17,00,00,-18.13833
2003,01,02,18,00,00,-18.01083
2003,01,02,19,00,00,-17.7465
2003,01,02,20,00,00,-17.64917
2003,01,02,21,00,00,-17.38033
2003,01,02,22,00,00,-16.85867
2003,01,02,23,00,00,-18.08367
2003,01,03,00,00,00,-18.29967
2003,01,03,01,00,00,-19.00433
2003,01,03,02,00,00,-19.2155
2003,01,03,03,00,00,-19.61967
2003,01,03,04,00,00,-19.3745
2003,01,03,05,00,00,-19.428
2003,01,03,06,00,00,-20.93833
2003,01,03,07,00,00,-22.29017
2003,01,03,08,00,00,-23.03817
2003,01,03,09,00,00,-23.72283
2003,01,03,10,00,00,-23.41
2003,01,03,11,00,00,-23.16433
2003,01,03,12,00,00,-23.3635
2003,01,03,13,00,00,-23.51317
2003,01,03,14,00,00,-24.07417
2003,01,03,15,00,00,-24.32183
2003,01,03,16,00,00,-24.5955
2003,01,03,17,00,00,-24.72267
2003,01,03,18,00,00,-24.991
2003,01,03,19,00,00,-25.09717
2003,01,03,20,00,00,-25.21033
2003,01,03,21,00,00,-25.26983
2003,01,03,22,00,00,-25.64267
2003,01,03,23,00,00,-26.10833
2003,01,04,00,00,00,-26.33967
2003,01,04,01,00,00,-26.22733
2003,01,04,02,00,00,-25.51
2003,01,04,03,00,00,-25.96483
2003,01,04,04,00,00,-25.91667
2003,01,04,05,00,00,-25.33083
2003,01,04,06,00,00,-25.065
2003,01,04,07,00,00,-24.88117
2003,01,04,08,00,00,-24.1005
2003,01,04,09,00,00,-23.36633
2003,01,04,10,00,00,-22.4035
2003,01,04,11,00,00,-21.14367
2003,01,04,12,00,00,-20.508
2003,01,04,13,00,00,-20.731
2003,01,04,14,00,00,-20.77383
2003,01,04,15,00,00,-19.56383
2003,01,04,16,00,00,-20.519
2003,01,04,17,00,00,-21.51033
2003,01,04,18,00,00,-22.14033
2003,01,04,19,00,00,-22.8485
2003,01,04,20,00,00,-23.41033
2003,01,04,21,00,00,-23.81533
2003,01,04,22,00,00,-24.31467
2003,01,04,23,00,00,-24.103
2003,01,05,00,00,00,-24.14167
2003,01,05,01,00,00,-24.05617
2003,01,05,02,00,00,-24.00517
2003,01,05,03,00,00,-23.82183
2003,01,05,04,00,00,-23.32683
2003,01,05,05,00,00,-23.1285
2003,01,05,06,00,00,-23.45783
2003,01,05,07,00,00,-23.61533
2003,01,05,08,00,00,-24.088
2003,01,05,09,00,00,-24.72683
2003,01,05,10,00,00,-25.1475
2003,01,05,11,00,00,-25.1665
2003,01,05,12,00,00,-24.58183
2003,01,05,13,00,00,-24.00017
2003,01,05,14,00,00,-23.50617
2003,01,05,15,00,00,-23.48117
2003,01,05,16,00,00,-23.1125
2003,01,05,17,00,00,-22.78833
2003,01,05,18,00,00,-22.40717
2003,01,05,19,00,00,-22.62517
2003,01,05,20,00,00,-23.1315
2003,01,05,21,00,00,-23.463
2003,01,05,22,00,00,-23.78833
2003,01,05,23,00,00,-24.06167
2003,01,06,00,00,00,-24.226
2003,01,06,01,00,00,-23.936
2003,01,06,02,00,00,-23.79217
2003,01,06,03,00,00,-24.08867
2003,01,06,04,00,00,-24.44233
2003,01,06,05,00,00,-25.0405
2003,01,06,06,00,00,-25.51567
2003,01,06,07,00,00,-26.0535
2003,01,06,08,00,00,-26.60417
2003,01,06,09,00,00,-26.996
2003,01,06,10,00,00,-27.247
2003,01,06,11,00,00,-27.15333
2003,01,06,12,00,00,-26.62817
2003,01,06,13,00,00,-26.407
2003,01,06,14,00,00,-26.4895
2003,01,06,15,00,00,-26.32017
2003,01,06,16,00,00,-25.105
2003,01,06,17,00,00,-25.21783
2003,01,06,18,00,00,-25.41767
2003,01,06,19,00,00,-26.2275
2003,01,06,20,00,00,-25.3295
2003,01,06,21,00,00,-23.66683
2003,01,06,22,00,00,-23.77483
2003,01,06,23,00,00,-24.34
2003,01,07,00,00,00,-24.378
2003,01,07,01,00,00,-24.58367
2003,01,07,02,00,00,-25.0275
2003,01,07,03,00,00,-24.7625
2003,01,07,04,00,00,-24.9785
2003,01,07,05,00,00,-24.13083
2003,01,07,06,00,00,-22.8765
2003,01,07,07,00,00,-25.6495
2003,01,07,08,00,00,-25.46217
2003,01,07,09,00,00,-24.9839
2003,01,07,10,00,00,-23.338
2003,01,07,11,00,00,-22.49783
2003,01,07,12,00,00,-21.98967
2003,01,07,13,00,00,-21.45683
2003,01,07,14,00,00,-19.86867
2003,01,07,15,00,00,-17.97867
2003,01,07,16,00,00,-15.99567
2003,01,07,17,00,00,-14.907
2003,01,07,18,00,00,-14.70783
2003,01,07,19,00,00,-14.48617
2003,01,07,20,00,00,-15.25483
2003,01,07,21,00,00,-16.1185
2003,01,07,22,00,00,-16.9815
2003,01,07,23,00,00,-17.25
2003,01,08,00,00,00,-17.10467
2003,01,08,01,00,00,-16.9445
2003,01,08,02,00,00,-17.389
2003,01,08,03,00,00,-16.399
2003,01,08,04,00,00,-15.65033
2003,01,08,05,00,00,-14.0225
2003,01,08,06,00,00,-12.59183
2003,01,08,07,00,00,-11.311
2003,01,08,08,00,00,-12.24517
2003,01,08,09,00,00,-13.7718
2003,01,08,10,00,00,-11.086
2003,01,08,11,00,00,-10.26033
2003,01,08,12,00,00,-9.22417
2003,01,08,13,00,00,-8.6705
2003,01,08,14,00,00,-8.316
2003,01,08,15,00,00,-6.62917
2003,01,08,16,00,00,-4.44133
2003,01,08,17,00,00,-2.8545
2003,01,08,18,00,00,-1.93433
2003,01,08,19,00,00,-1.63817
2003,01,08,20,00,00,-1.50683
2003,01,08,21,00,00,-1.55683
2003,01,08,22,00,00,-1.84833
2003,01,08,23,00,00,-2.38417
2003,01,09,00,00,00,-2.808
2003,01,09,01,00,00,-3.325
2003,01,09,02,00,00,-4.44817
2003,01,09,03,00,00,-5.63933
2003,01,09,04,00,00,-6.46167
2003,01,09,05,00,00,-7.072
2003,01,09,06,00,00,-7.90533
2003,01,09,07,00,00,-8.80367
2003,01,09,08,00,00,-9.962
2003,01,09,09,00,00,-11.11704
2003,01,09,10,00,00,-11.9325
2003,01,09,11,00,00,-12.42983
2003,01,09,12,00,00,-13.21517
2003,01,09,13,00,00,-13.7375
2003,01,09,14,00,00,-14.50833
2003,01,09,15,00,00,-15.32817
2003,01,09,16,00,00,-15.92533
2003,01,09,17,00,00,-16.6425
2003,01,09,18,00,00,-17.26283
2003,01,09,19,00,00,-17.89033
2003,01,09,20,00,00,-18.53817
2003,01,09,21,00,00,-18.95
2003,01,09,22,00,00,-19.61533
2003,01,09,23,00,00,-20.20433
2003,01,10,00,00,00,-20.95717
2003,01,10,01,00,00,-21.91567
2003,01,10,02,00,00,-22.83067
2003,01,10,03,00,00,-23.75533
2003,01,10,04,00,00,-24.44433
2003,01,10,05,00,00,-25.02067
2003,01,10,06,00,00,-25.59033
2003,01,10,07,00,00,-25.89517
2003,01,10,08,00,00,-26.02774
2003,01,10,09,00,00,-25.761
2003,01,10,10,00,00,-24.47983
2003,01,10,11,00,00,-24.97117
2003,01,10,12,00,00,-24.83517
2003,01,10,13,00,00,-24.32583
2003,01,10,14,00,00,-23.615
2003,01,10,15,00,00,-23.4295
2003,01,10,16,00,00,-23.13
2003,01,10,17,00,00,-22.88383
2003,01,10,18,00,00,-22.43467
2003,01,10,19,00,00,-22.15383
2003,01,10,20,00,00,-21.5445
2003,01,10,21,00,00,-20.90933
2003,01,10,22,00,00,-20.1905
2003,01,10,23,00,00,-20.39683
2003,01,11,00,00,00,-21.07567
2003,01,11,01,00,00,-21.10917
2003,01,11,02,00,00,-20.9865
2003,01,11,03,00,00,-21.22967
2003,01,11,04,00,00,-21.3775
2003,01,11,05,00,00,-21.18317
2003,01,11,06,00,00,-20.30367
2003,01,11,07,00,00,-18.943
2003,01,11,08,00,00,-16.94267
2003,01,11,09,00,00,-14.91767
2003,01,11,10,00,00,-13.46483
2003,01,11,11,00,00,-11.551
2003,01,11,12,00,00,-10.02733
2003,01,11,13,00,00,-8.79883
2003,01,11,14,00,00,-7.625
2003,01,11,15,00,00,-6.59433
2003,01,11,16,00,00,-5.75517
2003,01,11,17,00,00,-4.95883
2003,01,11,18,00,00,-4.102
2003,01,11,19,00,00,-3.37483
2003,01,11,20,00,00,-2.306
2003,01,11,21,00,00,-1.966
2003,01,11,22,00,00,-2.16817
2003,01,11,23,00,00,-2.58017
2003,01,12,00,00,00,-3.00017
2003,01,12,01,00,00,-3.25667
2003,01,12,02,00,00,-3.35467
2003,01,12,03,00,00,-3.27717
2003,01,12,04,00,00,-3.644
2003,01,12,05,00,00,-4.77367
2003,01,12,06,00,00,-6.49217
2003,01,12,07,00,00,-7.766
2003,01,12,08,00,00,-7.68417
2003,01,12,09,00,00,-7.92517
2003,01,12,10,00,00,-8.52517
2003,01,12,11,00,00,-8.81767
2003,01,12,12,00,00,-9.17833
2003,01,12,13,00,00,-9.39067
2003,01,12,14,00,00,-9.85717
2003,01,12,15,00,00,-9.91617
2003,01,12,16,00,00,-10.289
2003,01,12,17,00,00,-10.95783
2003,01,12,18,00,00,-9.90333
2003,01,12,19,00,00,-9.1935
2003,01,12,20,00,00,-8.91183
2003,01,12,21,00,00,-8.53733
2003,01,12,22,00,00,-7.83183
2003,01,12,23,00,00,-6.69767
2003,01,13,00,00,00,-5.15933
2003,01,13,01,00,00,-3.63717
2003,01,13,02,00,00,-2.721
2003,01,13,03,00,00,-1.88533
2003,01,13,04,00,00,-1.10717
2003,01,13,05,00,00,-0.69283
2003,01,13,06,00,00,-0.41217
2003,01,13,07,00,00,-0.36267
2003,01,13,08,00,00,-1.94633
2003,01,13,09,00,00,-3.69717
2003,01,13,10,00,00,-4.946
2003,01,13,11,00,00,-5.98283
2003,01,13,12,00,00,-6.52483
2003,01,13,13,00,00,-6.34583
2003,01,13,14,00,00,-6.5915
2003,01,13,15,00,00,-7.41583
2003,01,13,16,00,00,-8.37417
2003,01,13,17,00,00,-9.39217
2003,01,13,18,00,00,-10.42
2003,01,13,19,00,00,-11.49517
2003,01,13,20,00,00,-12.2815
2003,01,13,21,00,00,-13.10767
2003,01,13,22,00,00,-13.40067
2003,01,13,23,00,00,-13.72233
2003,01,14,00,00,00,-14.03183
2003,01,14,01,00,00,-13.37617
2003,01,14,02,00,00,-13.531
2003,01,14,03,00,00,-15.70917
2003,01,14,04,00,00,-16.7475
2003,01,14,05,00,00,-16.95867
2003,01,14,06,00,00,-16.20917
2003,01,14,07,00,00,-16.41233
2003,01,14,08,00,00,-15.1205
2003,01,14,09,00,00,-13.085
2003,01,14,10,00,00,-12.17833
2003,01,14,11,00,00,-11.40983
2003,01,14,12,00,00,-11.1185
2003,01,14,13,00,00,-10.29
2003,01,14,14,00,00,-10.31533
2003,01,14,15,00,00,-10.276
2003,01,14,16,00,00,-10.0885
2003,01,14,17,00,00,-9.48717
2003,01,14,18,00,00,-9.46917
2003,01,14,19,00,00,-9.61733
2003,01,14,20,00,00,-9.613
2003,01,14,21,00,00,-9.75717
2003,01,14,22,00,00,-9.83733
2003,01,14,23,00,00,-9.8945
2003,01,15,00,00,00,-10.03
2003,01,15,01,00,00,-10.0955
2003,01,15,02,00,00,-10.11817
2003,01,15,03,00,00,-10.14133
2003,01,15,04,00,00,-10.056
2003,01,15,05,00,00,-9.87183
2003,01,15,06,00,00,-9.88217
2003,01,15,07,00,00,-10.06133
2003,01,15,08,00,00,-10.082
2003,01,15,09,00,00,-10.32017
2003,01,15,10,00,00,-10.72117
2003,01,15,11,00,00,-10.91917
2003,01,15,12,00,00,-10.89367
2003,01,15,13,00,00,-10.64467
2003,01,15,14,00,00,-10.2185
2003,01,15,15,00,00,-9.77567
2003,01,15,16,00,00,-9.17367
2003,01,15,17,00,00,-8.5515
2003,01,15,18,00,00,-8.06567
2003,01,15,19,00,00,-7.16083
2003,01,15,20,00,00,-6.02333
2003,01,15,21,00,00,-5.12383
2003,01,15,22,00,00,-4.068
2003,01,15,23,00,00,-2.97767
2003,01,16,00,00,00,-0.29617
2003,01,16,01,00,00,0.4435
2003,01,16,02,00,00,0.912
2003,01,16,03,00,00,1.07783
2003,01,16,04,00,00,1.091
2003,01,16,05,00,00,1.04817
2003,01,16,06,00,00,1.06333
2003,01,16,07,00,00,1.10267
2003,01,16,08,00,00,1.22217
2003,01,16,09,00,00,1.3
2003,01,16,10,00,00,1.12383
2003,01,16,11,00,00,0.90483
2003,01,16,12,00,00,0.62683
2003,01,16,13,00,00,0.7485
2003,01,16,14,00,00,0.65117
2003,01,16,15,00,00,0.11933
2003,01,16,16,00,00,-0.40483
2003,01,16,17,00,00,-1.49883
2003,01,16,18,00,00,-2.38533
2003,01,16,19,00,00,-2.71733
2003,01,16,20,00,00,-2.96883
2003,01,16,21,00,00,-3.11383
2003,01,16,22,00,00,-3.44833
2003,01,16,23,00,00,-3.74717
2003,01,17,00,00,00,-3.93633
2003,01,17,01,00,00,-4.12683
2003,01,17,02,00,00,-4.06017
2003,01,17,03,00,00,-4.27217
2003,01,17,04,00,00,-4.8635
2003,01,17,05,00,00,-5.2495
2003,01,17,06,00,00,-5.3005
2003,01,17,07,00,00,-5.79417
2003,01,17,08,00,00,-5.60317
2003,01,17,09,00,00,-4.81117
2003,01,17,10,00,00,-5.21033
2003,01,17,11,00,00,-4.97067
2003,01,17,12,00,00,-4.20633
2003,01,17,13,00,00,-3.18617
2003,01,17,14,00,00,-2.73133
2003,01,17,15,00,00,-2.50867
2003,01,17,16,00,00,-1.6105
2003,01,17,17,00,00,-0.78767
2003,01,17,18,00,00,0.31967
2003,01,17,19,00,00,1.06117
2003,01,17,20,00,00,1.42633
2003,01,17,21,00,00,2.0275
2003,01,17,22,00,00,2.68317
2003,01,17,23,00,00,2.75867
2003,01,18,00,00,00,3.165
2003,01,18,01,00,00,3.596
2003,01,18,02,00,00,4.3435
2003,01,18,03,00,00,4.033
2003,01,18,04,00,00,3.77867
2003,01,18,05,00,00,3.14633
2003,01,18,06,00,00,3.0515
2003,01,18,07,00,00,2.7785
2003,01,18,08,00,00,1.94767
2003,01,18,09,00,00,1.008
2003,01,18,10,00,00,0.62217
2003,01,18,11,00,00,0.47367
2003,01,18,12,00,00,0.47283
2003,01,18,13,00,00,0.43033
2003,01,18,14,00,00,0.38717
2003,01,18,15,00,00,0.50283
2003,01,18,16,00,00,0.61867
2003,01,18,17,00,00,0.60083
2003,01,18,18,00,00,0.75383
2003,01,18,19,00,00,1.1665
2003,01,18,20,00,00,1.31717
2003,01,18,21,00,00,1.45567
2003,01,18,22,00,00,1.555
2003,01,18,23,00,00,1.57083
2003,01,19,00,00,00,1.33533
2003,01,19,01,00,00,0.70983
2003,01,19,02,00,00,0.242
2003,01,19,03,00,00,0.21767
2003,01,19,04,00,00,0.35767
2003,01,19,05,00,00,0.75383
2003,01,19,06,00,00,1.35167
2003,01,19,07,00,00,1.616
2003,01,19,08,00,00,0.8995
2003,01,19,09,00,00,0.331
2003,01,19,10,00,00,0.259
2003,01,19,11,00,00,0.3555
2003,01,19,12,00,00,0.667
2003,01,19,13,00,00,0.32583
2003,01,19,14,00,00,-0.33783
2003,01,19,15,00,00,-1.31817
2003,01,19,16,00,00,-1.97567
2003,01,19,17,00,00,-2.84667
2003,01,19,18,00,00,-3.8735
2003,01,19,19,00,00,-5.37583
2003,01,19,20,00,00,-7.5355
2003,01,19,21,00,00,-8.27667
2003,01,19,22,00,00,-8.72317
2003,01,19,23,00,00,-9.32083
2003,01,20,00,00,00,-9.708
2003,01,20,01,00,00,-9.93833
2003,01,20,02,00,00,-10.35383
2003,01,20,03,00,00,-10.74033
2003,01,20,04,00,00,-11.18117
2003,01,20,05,00,00,-11.426
2003,01,20,06,00,00,-11.78883
2003,01,20,07,00,00,-12.11333
2003,01,20,08,00,00,-12.2885
2003,01,20,09,00,00,-12.33917
2003,01,20,10,00,00,-12.25733
2003,01,20,11,00,00,-12.12517
2003,01,20,12,00,00,-12.072
2003,01,20,13,00,00,-12.14467
2003,01,20,14,00,00,-12.25283
2003,01,20,15,00,00,-12.32583
2003,01,20,16,00,00,-12.2665
2003,01,20,17,00,00,-12.0455
2003,01,20,18,00,00,-11.67083
2003,01,20,19,00,00,-11.32733
2003,01,20,20,00,00,-11.0265
2003,01,20,21,00,00,-10.83367
2003,01,20,22,00,00,-10.584
2003,01,20,23,00,00,-10.14017
2003,01,21,00,00,00,-9.64583
2003,01,21,01,00,00,-9.13083
2003,01,21,02,00,00,-8.5295
