Year,Month,Day,Hour,Minute,Second,HYY_META.CO2icos168
2013,01,01,00,00,00,401.1761
2013,01,01,01,00,00,401.2516
2013,01,01,02,00,00,401.634
2013,01,01,03,00,00,403.0018
2013,01,01,04,00,00,403.8442
2013,01,01,05,00,00,404.498
2013,01,01,06,00,00,405.1241
2013,01,01,07,00,00,405.5657
2013,01,01,08,00,00,405.7468
2013,01,01,09,00,00,405.6178
2013,01,01,10,00,00,405.2196
2013,01,01,11,00,00,404.6053
2013,01,01,12,00,00,404.042
2013,01,01,13,00,00,403.9429
2013,01,01,14,00,00,403.9092
2013,01,01,15,00,00,403.9213
2013,01,01,16,00,00,403.8621
2013,01,01,17,00,00,403.8269
2013,01,01,18,00,00,403.8037
2013,01,01,19,00,00,403.40244
2013,01,01,20,00,00,401.8835
2013,01,01,21,00,00,401.0242
2013,01,01,22,00,00,400.6069
2013,01,01,23,00,00,400.9138
2013,01,02,00,00,00,401.3429
2013,01,02,01,00,00,401.0006
2013,01,02,02,00,00,400.6217
2013,01,02,03,00,00,400.5205
2013,01,02,04,00,00,400.4594
2013,01,02,05,00,00,400.3692
2013,01,02,06,00,00,400.5246
2013,01,02,07,00,00,400.73
2013,01,02,08,00,00,400.6127
2013,01,02,09,00,00,400.6422
2013,01,02,10,00,00,400.81022
2013,01,02,11,00,00,400.8302
2013,01,02,12,00,00,400.5063
2013,01,02,13,00,00,400.3798
2013,01,02,14,00,00,400.5663
2013,01,02,15,00,00,400.722
2013,01,02,16,00,00,401.058
2013,01,02,17,00,00,401.5819
2013,01,02,18,00,00,401.7493
2013,01,02,19,00,00,402.1535
2013,01,02,20,00,00,402.3041
2013,01,02,21,00,00,402.3875
2013,01,02,22,00,00,402.5842
2013,01,02,23,00,00,402.8505
2013,01,03,00,00,00,403.23918
2013,01,03,01,00,00,403.77122
2013,01,03,02,00,00,404.425
2013,01,03,03,00,00,405.2117
2013,01,03,04,00,00,405.9115
2013,01,03,05,00,00,406.5735
2013,01,03,06,00,00,406.8579
2013,01,03,07,00,00,407.4033
2013,01,03,08,00,00,406.9047
2013,01,03,09,00,00,406.1969
2013,01,03,10,00,00,405.0588
2013,01,03,11,00,00,404.4256
2013,01,03,12,00,00,402.7865
2013,01,03,13,00,00,401.775
2013,01,03,14,00,00,401.7286
2013,01,03,15,00,00,402.0669
2013,01,03,16,00,00,402.68167
2013,01,03,17,00,00,403.3931
2013,01,03,18,00,00,404.8283
