Year,Month,Day,Hour,Minute,Second,HYY_META.NOx168
2013,01,01,00,00,00,0.708
2013,01,01,01,00,00,0.582
2013,01,01,02,00,00,1.111
2013,01,01,03,00,00,1.955
2013,01,01,04,00,00,1.197
2013,01,01,05,00,00,1.172
2013,01,01,06,00,00,1.245
2013,01,01,07,00,00,1.281
2013,01,01,08,00,00,1.313
2013,01,01,09,00,00,1.335
2013,01,01,10,00,00,1.235
2013,01,01,11,00,00,1.086
2013,01,01,12,00,00,1.009
2013,01,01,13,00,00,1.103
2013,01,01,14,00,00,1.202
2013,01,01,15,00,00,1.269
2013,01,01,16,00,00,1.186
2013,01,01,17,00,00,1.144
2013,01,01,18,00,00,1.211
2013,01,01,19,00,00,1.21
2013,01,01,20,00,00,0.669
2013,01,01,21,00,00,0.573
2013,01,01,22,00,00,0.513
2013,01,01,23,00,00,0.941
2013,01,02,00,00,00,0.731
2013,01,02,01,00,00,0.404
2013,01,02,02,00,00,0.194
2013,01,02,03,00,00,0.135
2013,01,02,04,00,00,0.167
2013,01,02,05,00,00,0.73
2013,01,02,06,00,00,0.403
2013,01,02,07,00,00,0.516
2013,01,02,08,00,00,0.394
2013,01,02,09,00,00,0.526
2013,01,02,10,00,00,0.847
2013,01,02,11,00,00,0.91
2013,01,02,12,00,00,0.755
2013,01,02,13,00,00,0.684
2013,01,02,14,00,00,0.67
2013,01,02,15,00,00,0.585
2013,01,02,16,00,00,1.514
2013,01,02,17,00,00,2.001
2013,01,02,18,00,00,1.01
2013,01,02,19,00,00,1.145
2013,01,02,20,00,00,0.828
2013,01,02,21,00,00,0.737
2013,01,02,22,00,00,0.815
2013,01,02,23,00,00,0.811
2013,01,03,00,00,00,0.78
2013,01,03,01,00,00,0.712
2013,01,03,02,00,00,0.74
2013,01,03,03,00,00,0.588
2013,01,03,04,00,00,0.567
2013,01,03,05,00,00,0.491
2013,01,03,06,00,00,3.611
2013,01,03,07,00,00,4.50222
2013,01,03,08,00,00,0.482
