Year,Month,Day,Hour,Minute,Second,HYY_META.PAR
2013,01,01,00,00,00,0.04267
2013,01,01,01,00,00,0.112
2013,01,01,02,00,00,0.14667
2013,01,01,03,00,00,-0.19119
2013,01,01,04,00,00,0.14667
2013,01,01,05,00,00,-0.096
2013,01,01,06,00,00,0.04267
2013,01,01,07,00,00,-0.096
2013,01,01,08,00,00,0.25067
2013,01,01,09,00,00,1.42933
2013,01,01,10,00,00,8.224
2013,01,01,11,00,00,23.096
2013,01,01,12,00,00,31.52
2013,01,01,13,00,00,17.82667
2013,01,01,14,00,00,9.09067
2013,01,01,15,00,00,1.42933
2013,01,01,16,00,00,-0.13067
2013,01,01,17,00,00,-0.13067
2013,01,01,18,00,00,-0.13067
2013,01,01,19,00,00,-0.33867
2013,01,01,20,00,00,-0.096
2013,01,01,21,00,00,-0.13067
2013,01,01,22,00,00,-0.02667
2013,01,01,23,00,00,-0.13067
2013,01,02,00,00,00,0.18667
2013,01,02,01,00,00,-0.16
2013,01,02,02,00,00,0.11733
2013,01,02,03,00,00,0.01333
2013,01,02,04,00,00,-0.056
2013,01,02,05,00,00,-0.264
2013,01,02,06,00,00,0.08267
2013,01,02,07,00,00,0.11733
2013,01,02,08,00,00,0.01333
2013,01,02,09,00,00,1.74667
2013,01,02,10,00,00,12.77067
2013,01,02,11,00,00,36.27467
2013,01,02,12,00,00,37.592
2013,01,02,13,00,00,21.19467
2013,01,02,14,00,00,20.15467
2013,01,02,15,00,00,2.47467
2013,01,02,16,00,00,-0.02133
2013,01,02,17,00,00,0.01333
2013,01,02,18,00,00,-0.09067
2013,01,02,19,00,00,0.11733
2013,01,02,20,00,00,-0.02133
2013,01,02,21,00,00,-0.02133
2013,01,02,22,00,00,-0.368
2013,01,02,23,00,00,-0.16
2013,01,03,00,00,00,-0.23867
2013,01,03,01,00,00,0.14267
2013,01,03,02,00,00,0.108
2013,01,03,03,00,00,0.004
2013,01,03,04,00,00,0.14267
2013,01,03,05,00,00,0.17733
2013,01,03,06,00,00,0.212
2013,01,03,07,00,00,-0.13467
2013,01,03,08,00,00,0.108
2013,01,03,09,00,00,4.33733
2013,01,03,10,00,00,23.404
2013,01,03,11,00,00,47.98267
2013,01,03,12,00,00,47.25467
2013,01,03,13,00,00,38.31067
2013,01,03,14,00,00,21.87867
2013,01,03,15,00,00,2.95067
2013,01,03,16,00,00,0.004
2013,01,03,17,00,00,0.14267
2013,01,03,18,00,00,-0.27333
2013,01,03,19,00,00,-0.1
2013,01,03,20,00,00,-0.13467
2013,01,03,21,00,00,-0.16933
2013,01,03,22,00,00,-0.13467
2013,01,03,23,00,00,-0.03067
2013,01,04,00,00,00,0.10733
2013,01,04,01,00,00,-0.378
2013,01,04,02,00,00,-0.03133
2013,01,04,03,00,00,-0.17
2013,01,04,04,00,00,-0.10067
2013,01,04,05,00,00,-0.20467
2013,01,04,06,00,00,-0.10067
2013,01,04,07,00,00,-0.066
2013,01,04,08,00,00,0.038
2013,01,04,09,00,00,3.33133
2013,01,04,10,00,00,16.01933
2013,01,04,11,00,00,45.03533
2013,01,04,12,00,00,55.60867
2013,01,04,13,00,00,48.64067
2013,01,04,14,00,00,17.718
2013,01,04,15,00,00,2.95
2013,01,04,16,00,00,0.07267
2013,01,04,17,00,00,-0.066
2013,01,04,18,00,00,0.07267
2013,01,04,19,00,00,-0.03133
2013,01,04,20,00,00,0.038
2013,01,04,21,00,00,0.07267
2013,01,04,22,00,00,0.00333
2013,01,04,23,00,00,-0.10067
2013,01,05,00,00,00,0.222
2013,01,05,01,00,00,0.014
2013,01,05,02,00,00,-0.194
2013,01,05,03,00,00,-0.15933
2013,01,05,04,00,00,0.014
2013,01,05,05,00,00,0.04867
2013,01,05,06,00,00,0.04867
2013,01,05,07,00,00,0.04867
2013,01,05,08,00,00,0.08333
2013,01,05,09,00,00,5.87267
2013,01,05,10,00,00,26.49933
2013,01,05,11,00,00,58.11533
2013,01,05,12,00,00,70.214
2013,01,05,13,00,00,97.70467
2013,01,05,14,00,00,47.61133
2013,01,05,15,00,00,6.73933
2013,01,05,16,00,00,-0.298
2013,01,05,17,00,00,0.04867
2013,01,05,18,00,00,-0.09
2013,01,05,19,00,00,-0.05533
2013,01,05,20,00,00,-0.194
2013,01,05,21,00,00,-0.09
2013,01,05,22,00,00,0.08333
2013,01,05,23,00,00,0.118
2013,01,06,00,00,00,0.16867
2013,01,06,01,00,00,0.27267
2013,01,06,02,00,00,-0.03933
2013,01,06,03,00,00,-0.074
2013,01,06,04,00,00,-0.074
2013,01,06,05,00,00,-0.10867
2013,01,06,06,00,00,0.134
2013,01,06,07,00,00,-0.00467
2013,01,06,08,00,00,0.134
2013,01,06,09,00,00,6.40867
2013,01,06,10,00,00,27.83267
2013,01,06,11,00,00,51.51
2013,01,06,12,00,00,56.32867
2013,01,06,13,00,00,48.21667
2013,01,06,14,00,00,24.50467
2013,01,06,15,00,00,4.98733
2013,01,06,16,00,00,-0.14333
2013,01,06,17,00,00,-0.00467
2013,01,06,18,00,00,-0.14333
2013,01,06,19,00,00,-0.03933
2013,01,06,20,00,00,-0.10867
