Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2003,01,01,00,00,00,99.41383
2003,01,01,01,00,00,99.40667
2003,01,01,02,00,00,100.5605
2003,01,01,03,00,00,100.19917
2003,01,01,04,00,00,98.42567
2003,01,01,05,00,00,97.822
2003,01,01,06,00,00,98.243
2003,01,01,07,00,00,97.8245
2003,01,01,08,00,00,96.59233
2003,01,01,09,00,00,96.60133
2003,01,01,10,00,00,96.63217
2003,01,01,11,00,00,97.68717
2003,01,01,12,00,00,98.172
2003,01,01,13,00,00,94.78133
2003,01,01,14,00,00,94.0545
2003,01,01,15,00,00,94.52133
2003,01,01,16,00,00,94.4955
2003,01,01,17,00,00,94.53095
2003,01,01,18,00,00,94.94517
2003,01,01,19,00,00,95.44433
2003,01,01,20,00,00,94.81867
2003,01,01,21,00,00,94.77571
2003,01,01,22,00,00,95.40278
2003,01,01,23,00,00,96.2405
2003,01,02,00,00,00,97.74796
2003,01,02,01,00,00,98.36917
2003,01,02,02,00,00,95.51817
2003,01,02,03,00,00,92.91883
2003,01,02,04,00,00,94.76933
2003,01,02,05,00,00,93.55574
2003,01,02,06,00,00,95.85267
2003,01,02,07,00,00,95.392
2003,01,02,08,00,00,93.51067
2003,01,02,09,00,00,96.02615
2003,01,02,10,00,00,95.13333
2003,01,02,11,00,00,96.78296
2003,01,02,12,00,00,97.79467
2003,01,02,13,00,00,95.84483
2003,01,02,14,00,00,95.21407
2003,01,02,15,00,00,93.3865
2003,01,02,16,00,00,95.77917
2003,01,02,17,00,00,94.1505
2003,01,02,18,00,00,93.438
2003,01,02,19,00,00,92.97483
2003,01,02,20,00,00,93.36759
2003,01,02,21,00,00,93.71929
2003,01,02,22,00,00,94.60397
2003,01,02,23,00,00,96.366
2003,01,03,00,00,00,93.39483
2003,01,03,01,00,00,95.3925
2003,01,03,02,00,00,94.3105
2003,01,03,03,00,00,96.03833
2003,01,03,04,00,00,92.977
2003,01,03,05,00,00,91.75917
2003,01,03,06,00,00,94.92717
2003,01,03,07,00,00,96.63483
2003,01,03,08,00,00,97.94817
2003,01,03,09,00,00,97.91583
2003,01,03,10,00,00,97.9415
2003,01,03,11,00,00,99.11967
2003,01,03,12,00,00,100.0286
2003,01,03,13,00,00,99.6885
2003,01,03,14,00,00,96.94519
2003,01,03,15,00,00,96.08633
2003,01,03,16,00,00,97.34167
2003,01,03,17,00,00,97.49267
2003,01,03,18,00,00,97.07317
2003,01,03,19,00,00,97.91519
2003,01,03,20,00,00,97.43778
2003,01,03,21,00,00,98.1105
2003,01,03,22,00,00,97.80517
2003,01,03,23,00,00,99.7795
2003,01,04,00,00,00,100.02717
2003,01,04,01,00,00,99.834
2003,01,04,02,00,00,100.55967
2003,01,04,03,00,00,100.1095
2003,01,04,04,00,00,98.64417
2003,01,04,05,00,00,99.14333
2003,01,04,06,00,00,99.512
2003,01,04,07,00,00,98.69417
2003,01,04,08,00,00,98.3385
2003,01,04,09,00,00,97.116
2003,01,04,10,00,00,97.17133
2003,01,04,11,00,00,97.28133
2003,01,04,12,00,00,97.881
2003,01,04,13,00,00,95.379
2003,01,04,14,00,00,92.51722
2003,01,04,15,00,00,92.07548
2003,01,04,16,00,00,93.71417
2003,01,04,17,00,00,97.3415
2003,01,04,18,00,00,97.398
2003,01,04,19,00,00,97.51967
2003,01,04,20,00,00,97.6255
2003,01,04,21,00,00,99.49467
2003,01,04,22,00,00,99.60067
2003,01,04,23,00,00,99.99667
2003,01,05,00,00,00,100.02778
2003,01,05,01,00,00,98.85733
2003,01,05,02,00,00,98.82767
2003,01,05,03,00,00,99.83167
2003,01,05,04,00,00,98.62067
2003,01,05,05,00,00,97.60617
2003,01,05,06,00,00,97.54476
2003,01,05,07,00,00,98.10683
2003,01,05,08,00,00,97.70593
2003,01,05,09,00,00,97.90283
2003,01,05,10,00,00,99.63717
2003,01,05,11,00,00,101.073
2003,01,05,12,00,00,101.47967
2003,01,05,13,00,00,99.62333
2003,01,05,14,00,00,97.93433
2003,01,05,15,00,00,95.05262
2003,01,05,16,00,00,96.59396
2003,01,05,17,00,00,95.869
2003,01,05,18,00,00,96.36383
2003,01,05,19,00,00,96.14517
2003,01,05,20,00,00,96.55093
2003,01,05,21,00,00,96.7865
2003,01,05,22,00,00,97.06481
2003,01,05,23,00,00,97.025
2003,01,06,00,00,00,96.00867
2003,01,06,01,00,00,96.04083
2003,01,06,02,00,00,97.05433
2003,01,06,03,00,00,97.26483
2003,01,06,04,00,00,96.63483
2003,01,06,05,00,00,96.78083
2003,01,06,06,00,00,98.32741
2003,01,06,07,00,00,98.756
2003,01,06,08,00,00,98.84233
2003,01,06,09,00,00,99.0405
2003,01,06,10,00,00,98.80296
2003,01,06,11,00,00,102.40121
2003,01,06,12,00,00,103.9655
2003,01,06,13,00,00,102.23481
2003,01,06,14,00,00,100.1465
2003,01,06,15,00,00,92.53019
2003,01,06,16,00,00,92.34813
2003,01,06,17,00,00,99.85733
2003,01,06,18,00,00,98.95317
2003,01,06,19,00,00,99.49446
2003,01,06,20,00,00,100.23583
2003,01,06,21,00,00,100.5315
2003,01,06,22,00,00,98.08117
2003,01,06,23,00,00,100.98792
2003,01,07,00,00,00,98.5185
2003,01,07,01,00,00,100.257
2003,01,07,02,00,00,100.75175
2003,01,07,03,00,00,100.42417
2003,01,07,04,00,00,99.82883
2003,01,07,05,00,00,97.9285
2003,01,07,06,00,00,94.728
2003,01,07,07,00,00,94.27537
2003,01,07,08,00,00,95.22217
2003,01,07,09,00,00,93.20833
2003,01,07,10,00,00,92.042
2003,01,07,11,00,00,94.342
2003,01,07,12,00,00,95.83533
2003,01,07,13,00,00,95.241
2003,01,07,14,00,00,94.43983
2003,01,07,15,00,00,94.6355
2003,01,07,16,00,00,93.724
2003,01,07,17,00,00,93.795
2003,01,07,18,00,00,93.89519
2003,01,07,19,00,00,93.45767
