Year,Month,Day,Hour,Minute,Second,HYY_META.RHIRGA336
2003,01,01,00,00,00,101.131
2003,01,01,01,00,00,102.394
2003,01,01,02,00,00,103.234
2003,01,01,03,00,00,102.834
2003,01,01,04,00,00,101.123
2003,01,01,05,00,00,101.202
2003,01,01,06,00,00,100.247
2003,01,01,07,00,00,100.737
2003,01,01,08,00,00,98.915
2003,01,01,09,00,00,97.215
2003,01,01,10,00,00,97.276
2003,01,01,11,00,00,96.607
2003,01,01,12,00,00,95.013
2003,01,01,13,00,00,94.522
2003,01,01,14,00,00,95.332
2003,01,01,15,00,00,96.844
2003,01,01,16,00,00,97.681
2003,01,01,17,00,00,99.081
2003,01,01,18,00,00,99.309
2003,01,01,19,00,00,99.508
2003,01,01,20,00,00,100.722
2003,01,01,21,00,00,101.817
2003,01,01,22,00,00,103.235
2003,01,01,23,00,00,104.453
2003,01,02,00,00,00,103.177
2003,01,02,01,00,00,104.069
2003,01,02,02,00,00,102.622
2003,01,02,03,00,00,100.377
2003,01,02,04,00,00,96.991
2003,01,02,05,00,00,95.987
2003,01,02,06,00,00,99.779
2003,01,02,07,00,00,99.634
2003,01,02,08,00,00,94.384
2003,01,02,09,00,00,96.36444
2003,01,02,10,00,00,94.418
2003,01,02,11,00,00,89.827
2003,01,02,12,00,00,89.736
2003,01,02,13,00,00,90.321
2003,01,02,14,00,00,90.243
2003,01,02,15,00,00,91.851
2003,01,02,16,00,00,94.41
2003,01,02,17,00,00,93.61
2003,01,02,18,00,00,93.612
2003,01,02,19,00,00,93.679
2003,01,02,20,00,00,94.446
2003,01,02,21,00,00,94.538
2003,01,02,22,00,00,94.884
2003,01,02,23,00,00,97.151
2003,01,03,00,00,00,95.98
2003,01,03,01,00,00,97.331
2003,01,03,02,00,00,97.366
2003,01,03,03,00,00,98.727
2003,01,03,04,00,00,97.558
2003,01,03,05,00,00,99.653
2003,01,03,06,00,00,99.001
2003,01,03,07,00,00,99.735
2003,01,03,08,00,00,100.421
2003,01,03,09,00,00,100.479
2003,01,03,10,00,00,100.635
2003,01,03,11,00,00,101.286
2003,01,03,12,00,00,101.159
2003,01,03,13,00,00,101.052
2003,01,03,14,00,00,101.453
2003,01,03,15,00,00,101.802
2003,01,03,16,00,00,102.283
2003,01,03,17,00,00,100.27
2003,01,03,18,00,00,100.542
2003,01,03,19,00,00,100.764
2003,01,03,20,00,00,100.996
2003,01,03,21,00,00,102.78
2003,01,03,22,00,00,103.125
2003,01,03,23,00,00,104.387
2003,01,04,00,00,00,109.38
2003,01,04,01,00,00,108.778
2003,01,04,02,00,00,105.952
2003,01,04,03,00,00,106.149
2003,01,04,04,00,00,106.601
2003,01,04,05,00,00,105.429
2003,01,04,06,00,00,104.813
2003,01,04,07,00,00,105.664
2003,01,04,08,00,00,105.323
2003,01,04,09,00,00,100.785
2003,01,04,10,00,00,100.049
2003,01,04,11,00,00,97.832
2003,01,04,12,00,00,95.408
2003,01,04,13,00,00,94.656
2003,01,04,14,00,00,97.132
2003,01,04,15,00,00,96.932
2003,01,04,16,00,00,98.186
2003,01,04,17,00,00,99.618
2003,01,04,18,00,00,98.533
2003,01,04,19,00,00,100.449
2003,01,04,20,00,00,101.886
2003,01,04,21,00,00,103.737
